store_code,citation_source,citation_url,citation_status,citation_role,needs_manual_reconciliation
KG_BRIGHTON_BEACH,Jewelers of America Brighton Beach profile,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161699,found_indexed_member_profile,existing_public_citation,False
KG_SUNSET_PARK,Jewelers of America Sunset Park profile,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161681,found_indexed_member_profile,existing_public_citation,False
