entity_id,entity_type,canonical_name,normalized_name,address_full,address_locality,address_region,postal_code,country_code,phone_e164,url,same_as,status,first_seen,last_seen
ent:org:king-pawn-usa,organization,King Pawn USA,king pawn usa,,,NY,,US,,https://kingpawnusa.com,,active,2026-06-05,2026-06-05
ent:loc:kg-freeport,location,King Gold and Pawn - Freeport,king gold and pawn - freeport,"24 W Merrick Rd, Freeport, NY, 11520",Freeport,NY,11520,US,+15164423939,https://kingpawnusa.com/pawn-shop-freeport/,,active,2026-06-05,2026-06-05
ent:loc:kg-brighton-beach,location,King Gold and Pawn - Brighton Beach,king gold and pawn - brighton beach,"510 Brighton Beach Ave, Brooklyn, NY, 11235",Brooklyn,NY,11235,US,+17186766762,https://kingpawnusa.com/king-gold-and-pawn-shop-brighton-beach/,,active,2026-06-05,2026-06-05
ent:loc:kg-pitkin,location,King Gold and Pawn - Pitkin Ave,king gold and pawn - pitkin ave,"1683 Pitkin Ave, Brooklyn, NY, 11212",Brooklyn,NY,11212,US,+17184848001,https://kingpawnusa.com/king-gold-and-pawn-shop-pitkin-avenue/,,active,2026-06-05,2026-06-05
ent:loc:kg-sunset-park,location,King Gold and Pawn - Sunset Park,king gold and pawn - sunset park,"4507 5th Ave, Brooklyn, NY, 11220",Brooklyn,NY,11220,US,+17186333339,https://kingpawnusa.com/king-gold-and-pawn-shop-5th-avenue-brooklyn/,,active,2026-06-05,2026-06-05
ent:loc:kg-bronx-longwood,location,King Gold and Pawn - Bronx,king gold and pawn - bronx,"1054 Southern Blvd, Bronx, NY, 10459",Bronx,NY,10459,US,+17188727066,https://kingpawnusa.com/pawn-shop-the-bronx/,,active,2026-06-05,2026-06-05
ent:loc:kg-lawrence,location,King Gold and Pawn - Lawrence,king gold and pawn - lawrence,"636 Rockaway Turnpike, 2nd Floor, Lawrence, NY, 11559",Lawrence,NY,11559,US,+15168129339,https://kingpawnusa.com/pawn-shop-lawrence/,,active,2026-06-05,2026-06-05
ent:loc:kg-new-rochelle,location,King Gold and Pawn - New Rochelle,king gold and pawn - new rochelle,"217 North Ave, New Rochelle, NY, 10801",New Rochelle,NY,10801,US,+19142789445,https://kingpawnusa.com/pawn-shop-new-rochelle/,,active,2026-06-05,2026-06-05
