source,source_url,citation_status,matched_store_codes,http_status,reachable,final_url,risk_class,audit_note,error
Jewelers of America Brighton Beach profile,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161699,found_indexed_member_profile,KG_BRIGHTON_BEACH,200,true,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161699,publishable_evidence_candidate,reachable profile-level evidence candidate,
Jewelers of America Sunset Park profile,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161681,found_indexed_member_profile,KG_SUNSET_PARK,200,true,https://www.jewelers.org/buying-jewelry/shop-with-a-member-jeweler/find-a-jeweler/king-gold-and-pawn-82161681,publishable_evidence_candidate,reachable profile-level evidence candidate,
King Pawn USA location page KG_FREEPORT,https://kingpawnusa.com/pawn-shop-freeport/,first_party_location_url,KG_FREEPORT,200,true,https://kingpawnusa.com/pawn-shop-freeport/,publishable_first_party_location,canonical first-party location URL,
King Pawn USA location page KG_BRIGHTON_BEACH,https://kingpawnusa.com/king-gold-and-pawn-shop-brighton-beach/,first_party_location_url,KG_BRIGHTON_BEACH,200,true,https://kingpawnusa.com/king-gold-and-pawn-shop-brighton-beach/,publishable_first_party_location,canonical first-party location URL,
King Pawn USA location page KG_PITKIN,https://kingpawnusa.com/king-gold-and-pawn-shop-pitkin-avenue/,first_party_location_url,KG_PITKIN,200,true,https://kingpawnusa.com/king-gold-and-pawn-shop-pitkin-avenue/,publishable_first_party_location,canonical first-party location URL,
King Pawn USA location page KG_SUNSET_PARK,https://kingpawnusa.com/king-gold-and-pawn-shop-5th-avenue-brooklyn/,first_party_location_url,KG_SUNSET_PARK,200,true,https://kingpawnusa.com/king-gold-and-pawn-shop-5th-avenue-brooklyn/,publishable_first_party_location,canonical first-party location URL,
King Pawn USA location page KG_BRONX_LONGWOOD,https://kingpawnusa.com/pawn-shop-the-bronx/,first_party_location_url,KG_BRONX_LONGWOOD,200,true,https://kingpawnusa.com/pawn-shop-the-bronx/,publishable_first_party_location,canonical first-party location URL,
King Pawn USA location page KG_LAWRENCE,https://kingpawnusa.com/pawn-shop-lawrence/,first_party_location_url,KG_LAWRENCE,200,true,https://kingpawnusa.com/pawn-shop-lawrence/,publishable_first_party_location,canonical first-party location URL,
King Pawn USA location page KG_NEW_ROCHELLE,https://kingpawnusa.com/pawn-shop-new-rochelle/,first_party_location_url,KG_NEW_ROCHELLE,200,true,https://kingpawnusa.com/pawn-shop-new-rochelle/,publishable_first_party_location,canonical first-party location URL,
